_id,acceleration,body_color,body_status,body_type,brand,engine,fuel_consumption,fuel_type,inside_color,mileage,model,price,url,volume,year
62c022b15ac6166d04f2a6f7,13,سفید,بدون رنگ,hatchback,quick,4 سیلندر M15 یورو4 ,7,بنزینی,مشکی,0,manualr,224000000,https://bama.ir/car/detail-jhoacuqu-quick-manualr-1401,1.5,2022
62c022b15ac6166d04f2a6f8,13,سفید,بدون رنگ,passenger_car,tiba,4 سیلندر M15 ,6.9,بنزینی,طوسی,23000,sedan,175000000,https://bama.ir/car/detail-wmb2k3mz-tiba-sedan-sx-1399,1.5,2020
62c022b15ac6166d04f2a6f9,11.6,سفید,یک درب رنگ,hatchback,peugeot,4 سیلندر TU5 ,6.6,بنزینی,طوسی,113000,207,310000000,https://bama.ir/car/detail-brhmr3p4-peugeot-207-mt-1396,1.6,2017
62c022b15ac6166d04f2a6fa,13.2,خاکستری,بدون رنگ,passenger_car,peugeot,4 سیلندر TU5 ,7.5,بنزینی,مشکی,12000,pars,355000000,https://bama.ir/car/detail-b3k5okue-peugeot-pars-lx-1400,1.6,2021
62c022b15ac6166d04f2a6fb,11.7,سفید,بدون رنگ,crossover,jac,4 سیلندر توربوشارژ ,7.7,بنزینی,مشکی,35000,s5,805000000,https://bama.ir/car/detail-qyrshvc-jac-s5-at2000-1398,2,2019
62c022b15ac6166d04f2a6fc,11.6,سفید,بدون رنگ,hatchback,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,18000,207,393000000,https://bama.ir/car/detail-yt3q3puu-peugeot-207-manualpanorama-1400,1.6,2021
62c022b15ac6166d04f2a6fd,12.6,سفید,بدون رنگ,passenger_car,besturn,4 سیلندر ,6.7,بنزینی,طوسی,79000,b30,505000000,https://bama.ir/car/detail-ow7nxr5z-besturn-b30-at-1397,1.6,2018
62c022b15ac6166d04f2a6fe,10.1,مشکی,دو لکه رنگ,passenger_car,renault,4 سیلندر ,7.7,بنزینی,کرم,83000,fluence,780000000,https://bama.ir/car/detail-awn1jjy-renault-fluence-e4-2016,2,2016
62c022b15ac6166d04f2a6ff,10.4,سفید,بدون رنگ,crossover,kia,4 سیلندر MPI ,9.6,بنزینی,مشکی,100000,sportage,1585000000,https://bama.ir/car/detail-ak4hr9nj-kia-sportage-basic-2016,2.4,2016
62c022b15ac6166d04f2a700,13.5,سفید,بدون رنگ,passenger_car,geely,4 سیلندر ,6,بنزینی,مارون,60000,gc6,400000000,https://bama.ir/car/detail-397iwq8c-geely-gc6-excellent-1398,1.5,2019
62c022b15ac6166d04f2a701,13,سفید,بدون رنگ,hatchback,quick,4 سیلندر M15 یورو4 ,7,بنزینی,مشکی,30000,manualr,204000000,https://bama.ir/car/detail-byn2hjh1-quick-manualr-1400,1.5,2021
62c022b15ac6166d04f2a702,10.5,سفید,بدون رنگ,passenger_car,kia,4 سیلندر ,7.9,بنزینی,مشکی,35000,ceratoir,955000000,https://bama.ir/car/detail-hf9cmjqh-kia-ceratoir-2000optional-1397,2,2018
